Dir,Bed,Bath,Mts,Precio,geo,Cluster
"Eduardo Berdecio, San Pedro, La Paz, Bolivia",10,5,797.86,520000,POINT (-68.1388724 -16.5089274),-1
"Llojeta, Vergel, La Paz, Bolivia",20,8,2700,580000,POINT (-68.1400515 -16.5334633),-1
"Casimiro corrales, Miraflores, La Paz, Bolivia",10,20,824,630000,POINT (-68.1251958 -16.4974011),-1
"Ex Hacienda La Union 124, Villa el Carmen, La Paz, Bolivia",20,9,1272.57,720000,POINT (-68.1172997 -16.4670568),-1
"Eguino Entre Calle Viacha y Manco, La Paz, Bolivia",10,5,840.19,720000,POINT (-68.1429567 -16.493872),-1
"Urbanizacion Los Geranios 21, La Florida, La Paz, Bolivia",5,5,1277,750000,POINT (-68.1768919 -16.4923771),-1
"Jardines del Sur 53, Achumani, La Paz, Bolivia",5,7,1122,788000,POINT (-68.1941791 -16.509976),-1
"Calle 17, calacoto, La Paz, Bolivia",4,4,1527,800000,POINT (-68.0827447 -16.5387682),-1
"Urbanizacion Sequioa 12A, Aranjuez Sequioa, La Paz, Bolivia",3,5,400,327932.4156,POINT (-68.130224 -16.5471876),0
"Urbanizacion los Geranios 27, La Florida, La Paz, Bolivia",5,5,1828,860000,POINT (-68.1768919 -16.4923771),-1
"Calle 32, Achumani, La Paz, Bolivia",4,3,905,570000,POINT (-68.0736753 -16.5299455),-1
"Prolongacion 31, Achumani, La Paz, Bolivia",4.650765485,3.632609067,461.0281752,173000,POINT (-68.054357 -16.5177921),0
"Alto irpavi, La Paz, Bolivia",4,6,328,275000,POINT (-68.080559 -16.5229935),0
"Achumani, La Paz, Bolivia",3,7,684,1450000,POINT (-67.9382744 -16.8845181),-1
"Achumani, La Paz, Bolivia",5,7,935,1010000,POINT (-67.9382744 -16.8845181),-1
"Calacoto, La Paz, Bolivia",3,4,390,745000,POINT (-68.6355054 -17.2826209),-1
"Calle 31, Achumani, La Paz, Bolivia",4,5,325,173000,POINT (-68.0736753 -16.5299455),0
"Retamani 2, Mallasa, La Paz, Bolivia",4,4,208,120000,POINT (-68.0959394 -16.575464),0
"Pamirpampa, Achumani, La Paz, Bolivia",5,5,280,430000,POINT (-68.0720111 -16.5263415),0
"Club de Golf, Mallasilla, La Paz, Bolivia",4,5,325,475000,POINT (-68.1058322 -16.5693748),0
"Calle 39, Achumani, La Paz, Bolivia",5,4,336,265000,POINT (-68.0736753 -16.5299455),0
"Calle 26 No 23, Cota Cota, La Paz, Bolivia",4,5,289,390000,POINT (-68.0709256 -16.5415987),0
"Aquisamaña, La Paz, Bolivia",5,8,670,1250000,POINT (-68.0731613 -16.5524759),-1
"Aquisamaña, La Paz, Bolivia",3,3,240,250000,POINT (-68.0731613 -16.5524759),0
"Calle 5 A1, Rio Abajo, La Paz, Bolivia",3,3,220,154000,POINT (-68.0770195 -16.5875794),0
"Calle 31, Achumani, La Paz, Bolivia",4,6,361,520000,POINT (-68.11284 -16.5665517),0
"Aranjuez, La Paz, Bolivia",4,6,430,470000,POINT (-66.9561011 -17.5895077),0
"Calle 30, Achumani, La Paz, Bolivia",5,5,508,370000,POINT (-68.0736753 -16.5299455),-1
"Calle 22, Achumani, La Paz, Bolivia",4,4,600,780000,POINT (-68.0707463 -16.5289676),-1
"Urbanización Isla Verde, Mallasilla, La Paz, Bolivia",3,5,251,229000,POINT (-68.0770195 -16.5875794),0
"Plaza España, Sopocachi, La Paz, Bolivia",8,5,378,370000,POINT (-68.11284 -16.5665517),-1
"Calle 30, Cota Cota, La Paz, Bolivia",4,5,380,750000,POINT (-68.0632075 -16.5400175),-1
